IDENT,LATITUDE,LONGITUDE 
POSAI,7° 10' 5.61" N,100° 24' 0.70" E
PRIKY,6° 41' 58.67" N,100° 22' 46.99" E
PSL08,16° 45' 32.46" N,100° 17' 55.21" E
PSL13,16° 45' 26.21" N,100° 17' 59.03" E
PSL21,16° 48' 8.81" N,100° 15' 58.36" E
PSL22,16° 51' 45.28" N,100° 13' 8.89" E
PSL23,16° 55' 50.57" N,100° 9' 56.70" E
PSL34,16° 38' 32.82" N,100° 25' 43.20" E
PSL38,16° 38' 0.71" N,100° 25' 8.66" E
PSL42,16° 57' 48.25" N,100° 14' 1.64" E
PSL43,16° 41' 45.61" N,100° 20' 53.10" E
PSL44,16° 37' 17.09" N,100° 24' 12.72" E
PSL47,16° 41' 16.98" N,100° 20' 40.82" E
PSL48,16° 36' 51.24" N,100° 23' 32.93" E
PSL50,16° 36' 39.34" N,100° 23' 12.36" E
PSL54,16° 36' 17.64" N,100° 22' 29.99" E
PSL55,16° 58' 13.53" N,100° 16' 23.23" E
PSL63,16° 51' 13.95" N,100° 27' 41.88" E
PSL64,16° 51' 41.25" N,100° 28' 37.65" E
PSL67,16° 35' 27.60" N,100° 20' 3.30" E
PSL72,16° 35' 17.07" N,100° 19' 4.35" E
PSL77,16° 47' 33.79" N,100° 6' 5.86" E
PSL78,16° 47' 41.07" N,100° 5' 3.77" E
PSL80,16° 35' 10.63" N,100° 17' 28.70" E
PSL96,16° 45' 3.75" N,100° 28' 52.75" E
PSL97,16° 44' 57.40" N,100° 29' 54.93" E
PULOY,16° 52' 8.55" N,100° 29' 33.43" E
PUT07,8° 7' 9.49" N,98° 25' 25.90" E
PUT11,8° 12' 16.20" N,98° 8' 40.56" E
PUT12,8° 7' 19.90" N,98° 30' 28.19" E
PUT19,8° 1' 3.98" N,98° 28' 57.45" E
PUT21,7° 58' 19.42" N,98° 11' 24.06" E
PUT39,8° 16' 16.95" N,98° 25' 59.71" E
PUT50,8° 3' 7.89" N,98° 7' 57.48" E
PUT70,8° 6' 54.68" N,98° 7' 17.25" E
PUT78,8° 9' 25.06" N,98° 30' 12.83" E
PUT98,8° 5' 13.97" N,98° 30' 21.51" E
R1297,13° 55' 35.00" N,100° 36' 44.80" E
R1867,12° 41' 45.00" N,101° 0' 22.86" E
R1868,15° 15' 35.02" N,104° 52' 52.20" E
R1869,19° 56' 25.75" N,99° 52' 33.51" E
R1870,14° 6' 45.98" N,99° 55' 24.56" E
R1871,18° 45' 7.61" N,98° 57' 46.11" E
R1872,16° 46' 19.33" N,100° 17' 14.58" E
R1873,6° 56' 3.92" N,100° 24' 28.30" E
R1874,6° 30' 41.80" N,101° 44' 23.27" E
R1876,17° 22' 48.62" N,102° 48' 3.73" E
R2552,8° 6' 52.23" N,98° 19' 49.46" E
R3461,13° 55' 28.51" N,100° 36' 55.82" E
RAMBU,15° 3' 51.24" N,103° 23' 16.32" E
RAMEI,15° 1' 3.57" N,102° 59' 40.72" E
RECNO,8° 34' 25.30" N,99° 28' 24.90" E
REGOS,12° 0' 6.50" N,100° 34' 54.30" E
RELIP,8° 4' 31.50" N,100° 26' 18.50" E
REVER,15° 0' 24.68" N,102° 14' 49.83" E
ROCHA,14° 9' 33.77" N,100° 37' 46.73" E
ROMBO,7° 45' 57.94" N,98° 40' 7.06" E
RULOK,14° 25' 5.84" N,104° 51' 54.05" E
SALEE,15° 10' 5.38" N,104° 39' 0.99" E
SAMOS,8° 18' 11.34" N,98° 46' 26.16" E
SANIT,17° 9' 30.92" N,102° 46' 30.05" E
SANTI,17° 18' 12.74" N,102° 57' 26.78" E
SELKA,14° 21' 35.90" N,101° 59' 47.50" E
SENAL,14° 52' 38.52" N,101° 59' 17.60" E
SP101,8° 7' 45.00" N,98° 30' 27.00" E
SP102,8° 1' 44.29" N,98° 30' 52.19" E
SP103,7° 59' 3.32" N,98° 8' 30.42" E
SP104,8° 10' 55.74" N,98° 6' 24.37" E
SP105,8° 13' 45.93" N,98° 30' 1.55" E
SP112,8° 4' 59.53" N,98° 7' 27.41" E
SP113,8° 20' 5.08" N,98° 22' 21.07" E
SP114,8° 23' 13.94" N,98° 27' 14.73" E
SP115,8° 20' 43.35" N,98° 34' 28.95" E
