IDENT,LATITUDE,LONGITUDE 
MCT78,10° 13' 36.32" N,123° 53' 58.96" E
MCT79,10° 11' 09.71" N,123° 56' 26.40" E
MCT87,10° 23' 12.95" N,123° 50' 10.65" E
MCT98,10° 24' 44.05" N,124° 05' 01.17" E
MCTNB,10° 18' 33.24" N,123° 59' 03.90" E
MEGOM,6° 42' 55.46" N,125° 25' 56.32" E
MEVIN,21° 0' 0.00" N,122° 33' 0.00" E
MIA06,14° 42' 31.29" N,121° 22' 45.86" E
MIA07,14° 33' 59.66" N,121° 07' 33.56" E
MIA08,14° 32' 29.27" N,121° 04' 52.69" E
MIA09,14° 32' 02.76" N,121° 10' 26.90" E
MIA12,14° 36' 30.25" N,121° 12' 01.76" E
MIA17,14° 39' 00.74" N,121° 16' 30.06" E
MIA20,14° 40' 31.00" N,121° 19' 11.09" E
MIA22,14° 23' 14.84" N,120° 54' 08.53" E
MIA26,14° 29' 32.21" N,120° 59' 32.78" E
MIA60,14° 31' 22.93" N,121° 02' 54.67" E
MIA73,14° 34' 40.57" N,121° 08' 06.77" E
MIA78,14° 25' 54.01" N,120° 53' 20.74" E
MIA80,14° 31' 13.15" N,121° 02' 18.53" E
MIGEL,15° 3' 13.44" N,121° 3' 11.58" E
MIKIN,19° 20' 6.74" N,118° 6' 35.13" E
MINDA,14° 28' 7.99" N,120° 27' 5.63" E
MINIO,18° 35' 43.85" N,120° 49' 19.96" E
MINOR,12° 22' 5.99" N,122° 14' 4.20" E
MOLLY,4° 0' 0.00" N,123° 43' 6.00" E
MOLOC,11° 0' 11.29" N,123° 30' 30.22" E
MOROT,3° 33' 5.57" N,132° 5' 11.70" E
MUMOT,19° 1' 42.90" N,117° 47' 23.01" E
MUNTI,14° 52' 53.20" N,121° 41' 18.80" E
MUPOB,15° 38' 11.81" N,123° 3' 17.89" E
NABAL,15° 28' 17.01" N,120° 31' 24.55" E
NANAS,9° 47' 25.85" N,122° 59' 6.29" E
NATIB,14° 42' 47.16" N,120° 23' 52.81" E
NIBAT,7° 27' 53.20" N,125° 37' 24.41" E
NOBEN,12° 47' 12.13" N,116° 44' 24.62" E
NOYAN,10° 24' 20.96" N,121° 0' 15.46" E
OCORO,10° 31' 6.24" N,121° 23' 29.58" E
OLIVA,14° 56' 57.76" N,120° 43' 20.44" E
OLONG,14° 36' 3.63" N,120° 5' 11.13" E
OLRAX,13° 18' 58.32" N,120° 26' 44.53" E
OMDOB,17° 7' 5.29" N,126° 33' 2.71" E
OPOLO,8° 48' 50.11" N,124° 28' 46.06" E
ORDEP,6° 50' 8.32" N,125° 29' 46.95" E
PABLO,14° 5' 0.35" N,121° 19' 39.71" E
PACIN,10° 35' 35.20" N,124° 18' 11.02" E
PAKAN,6° 29' 8.22" N,125° 0' 27.64" E
PALAY,9° 59' 39.63" N,122° 23' 51.49" E
PALOS,11° 1' 42.68" N,120° 0' 56.48" E
PAMKI,17° 48' 48.18" N,120° 53' 19.52" E
PANDA,10° 29' 33.33" N,122° 47' 40.52" E
PANDI,11° 38' 6.00" N,114° 0' 0.00" E
PARAL,7° 17' 21.27" N,122° 15' 41.65" E
PARAO,10° 55' 16.62" N,123° 24' 22.59" E
PAYAD,15° 34' 0.53" N,120° 24' 41.74" E
PAYAS,18° 0' 50.66" N,120° 33' 35.09" E
PEDNO,4° 0' 0.00" N,125° 21' 0.00" E
PIKAN,10° 43' 9.41" N,122° 5' 13.85" E
PILAS,6° 49' 20.16" N,121° 38' 57.49" E
POLIO,15° 01' 06.49" N,121° 54' 35.14" E
PONSO,10° 52' 20.40" N,124° 37' 6.24" E
POTIB,21° 0' 0.00" N,120° 45' 30.00" E
POTON,10° 56' 19.45" N,122° 35' 59.06" E
POXEL,4° 39' 9.08" N,130° 55' 36.19" E
PR093,09° 44' 29.00" N,118° 47' 12.91" E
PR303,09° 47' 12.90" N,118° 40' 55.76" E
PUSIT,10° 59' 55.46" N,121° 17' 59.06" E
R0010,14° 47' 57.16" N,120° 16' 59.30" E
R1796,14° 29' 54.81" N,121° 00' 05.12" E
R1797,14° 30' 49.80" N,121° 01' 44.08" E
R1798,10° 19' 05.43" N,123° 59' 24.34" E
R1991,06° 04' 21.39" N,125° 05' 39.95" E
R2389,07° 08' 03.74" N,125° 39' 21.85" E
R2585,15° 10' 27.72" N,120° 33' 28.24" E
R2587,15° 12' 04.90" N,120° 34' 06.76" E
R2683,07° 07' 00.03" N,125° 38' 07.76" E
R2816,10° 17' 49.03" N,123° 58' 07.62" E
R2861,06° 55' 23.55" N,122° 02' 52.28" E
R3711,08° 25' 35.16" N,124° 36' 49.38" E
R3712,08° 24' 21.49" N,124° 36' 32.40" E
R5011,14° 47' 22.87" N,120° 15' 34.53" E
RABIV,7° 23' 29.55" N,125° 26' 34.49" E
RADEG,14° 52' 21.35" N,120° 54' 49.57" E
RAGAY,13° 43' 47.01" N,122° 35' 2.83" E
RASEC,10° 17' 20.55" N,123° 31' 20.04" E
RAVIA,10° 51' 10.03" N,122° 52' 58.94" E
RAYAT,15° 7' 4.31" N,120° 49' 3.45" E
REKEL,13° 35' 25.60" N,118° 42' 31.91" E
RIANO,15° 21' 2.99" N,120° 49' 3.45" E
RINAL,14° 48' 37.65" N,120° 25' 52.89" E
RODAT,14° 58' 48.17" N,121° 19' 37.38" E
ROSER,15° 22' 23.15" N,120° 38' 17.42" E
SABEL,10° 15' 25.53" N,123° 0' 6.67" E
SADAN,4° 0' 0.00" N,128° 4' 60.00" E
SADOK,10° 55' 19.27" N,125° 18' 38.74" E
SAGRA,12° 22' 11.66" N,122° 32' 55.52" E
SAMAT,14° 33' 57.13" N,120° 30' 22.00" E
SANGI,10° 25' 48.79" N,123° 44' 40.64" E
SARSI,16° 43' 36.37" N,123° 14' 55.97" E
SBA07,14° 44' 22.18" N,120° 09' 14.75" E
SBA21,14° 33' 50.02" N,120° 04' 37.97" E
SBA22,14° 35' 31.21" N,120° 02' 33.97" E
SBA23,14° 37' 57.95" N,120° 00' 31.72" E
SBA24,14° 39' 48.18" N,119° 59' 28.81" E
SBA30,15° 05' 18.34" N,120° 24' 52.44" E
SBA36,14° 56' 13.15" N,120° 13' 30.26" E
SBA40,15° 03' 05.62" N,120° 28' 07.11" E
SBA46,14° 56' 38.18" N,120° 24' 38.98" E
SBA51,14° 48' 48.80" N,120° 18' 48.20" E
SBA55,14° 32' 31.32" N,120° 20' 02.42" E
SBA60,14° 57' 12.57" N,120° 33' 11.10" E
SBA65,14° 51' 05.93" N,120° 23' 30.95" E
SEBUL,6° 13' 45.61" N,124° 32' 52.25" E
SELSO,4° 0' 0.00" N,126° 15' 54.00" E
SHREE,5° 39' 0.00" N,131° 9' 24.00" E
SIKIN,9° 1' 33.10" N,124° 4' 44.14" E
SILAG,14° 25' 17.58" N,119° 47' 12.34" E
SIRCA,14° 27' 38.34" N,120° 20' 2.29" E
SIVAL,7° 25' 42.97" N,125° 29' 58.67" E
SKATE,17° 22' 11.17" N,124° 25' 36.56" E
SOMAR,14° 24' 20.35" N,118° 17' 13.21" E
SURAH,6° 19' 34.25" N,124° 45' 25.43" E
SUSIE,14° 6' 10.89" N,120° 8' 20.62" E
TAALA,14° 2' 48.87" N,121° 1' 34.86" E
TABUL,6° 32' 36.61" N,121° 52' 56.27" E
TAC10,11° 23' 37.34" N,125° 04' 11.68" E
TAC29,11° 11' 00.61" N,125° 01' 24.31" E
TAC78,11° 06' 05.67" N,125° 01' 08.66" E
TADAG,10° 16' 7.14" N,123° 8' 38.98" E
TADAO,18° 23' 13.99" N,120° 40' 31.67" E
TADEL,15° 24' 50.87" N,120° 25' 58.30" E
TAGPI,12° 22' 4.21" N,125° 21' 36.41" E
TALIM,14° 21' 23.71" N,121° 19' 41.21" E
TAMSI,11° 38' 2.58" N,125° 8' 38.16" E
TANAL,6° 33' 40.27" N,122° 15' 47.72" E
