IDENT,LATITUDE,LONGITUDE 
VBA02,03° 17' 37.42" N,101° 28' 09.88" E
VBA04,03° 15' 45.53" N,101° 28' 54.85" E
VBA06,03° 13' 53.65" N,101° 29' 39.82" E
VBA10,03° 21' 24.30" N,101° 37' 13.82" E
VBA11,03° 10' 19.41" N,101° 31' 30.98" E
VBA12,02° 57' 14.24" N,101° 34' 58.47" E
VBA16,03° 09' 48.23" N,101° 31' 49.77" E
VBA17,03° 22' 44.74" N,101° 44' 06.09" E
VBA20,03° 05' 31.52" N,101° 41' 47.81" E
VBA22,02° 59' 52.65" N,101° 37' 34.14" E
VBA24,03° 34' 39.78" N,101° 46' 04.15" E
VBA25,02° 59' 40.57" N,101° 42' 48.61" E
VBA32,02° 48' 14.04" N,101° 41' 00.60" E
VBA34,02° 31' 18.15" N,102° 17' 00.40" E
VBA40,02° 49' 54.03" N,101° 39' 53.09" E
VBA44,02° 35' 14.55" N,101° 27' 24.90" E
VBA45,02° 55' 36.85" N,101° 44' 02.42" E
VBA52,03° 01' 39.62" N,101° 36' 38.77" E
VBA55,02° 26' 35.74" N,101° 43' 29.48" E
VBA58,03° 12' 18.55" N,101° 30' 18.04" E
VBA60,02° 51' 34.10" N,101° 38' 46.12" E
VBA78,03° 20' 06.59" N,101° 45' 12.13" E
VBA80,02° 57' 22.83" N,101° 27' 24.90" E
VBA83,02° 44' 43.09" N,101° 54' 25.51" E
VBA88,03° 19' 50.29" N,101° 37' 24.47" E
VBA89,03° 16' 11.24" N,101° 46' 01.48" E
VBA99,03° 17' 44.55" N,101° 37' 15.70" E
VENLI,6° 28' 48.00" N,102° 49' 0.00" E
VIDIP,5° 41' 6.00" N,115° 10' 3.00" E
VILAT,5° 53' 28.00" N,100° 5' 57.00" E
VISED,5° 27' 46.00" N,117° 11' 15.00" E
VJN80,4° 51' 5.00" N,115° 12' 40.00" E
VKB35,5° 35' 18.00" N,102° 13' 4.00" E
VKB36,05° 37' 19.00" N,102° 31' 49.00" E
VKL09,02° 35' 24.44" N,101° 47' 54.51" E
VKL11,02° 53' 24.11" N,101° 39' 27.83" E
VKL12,02° 35' 02.54" N,101° 49' 55.41" E
VKL13,02° 41' 11.82" N,101° 31' 29.39" E
VKL14,02° 33' 07.55" N,101° 51' 12.41" E
VKL16,02° 45' 46.80" N,101° 41' 00.60" E
VKL17,02° 41' 30.48" N,101° 43' 50.52" E
VKL25,02° 42' 57.72" N,101° 44' 37.21" E
VKL31,02° 46' 57.59" N,101° 40' 12.97" E
VKL32,02° 51' 03.10" N,101° 39' 23.06" E
VKL40,02° 39' 34.90" N,101° 45' 07.59" E
VKL41,03° 24' 04.13" N,101° 51' 24.43" E
VKL42,02° 41' 42.64" N,101° 45' 27.49" E
VKL44,02° 40' 23.24" N,101° 46' 51.16" E
VKL50,02° 48' 37.76" N,101° 39' 06.19" E
VKL60,02° 37' 54.71" N,101° 46' 14.36" E
VKL61,02° 40' 02.64" N,101° 46' 34.46" E
VKL71,02° 58' 56.95" N,101° 37' 06.12" E
VKL80,02° 51' 08.01" N,101° 37' 26.02" E
VKL97,02° 52' 33.16" N,101° 36' 29.25" E
VKN09,03° 59' 26.44" N,103° 12' 12.26" E
VKN10,03° 59' 15.00" N,103° 14' 55.03" E
VKN11,03° 57' 25.92" N,103° 12' 16.45" E
VKN13,03° 46' 23.00" N,103° 25' 39.78" E
VKN17,03° 33' 26.91" N,103° 14' 28.07" E
VKN27,03° 46' 22.97" N,102° 57' 39.17" E
VKN28,03° 46' 23.00" N,102° 59' 39.22" E
VKN29,03° 44' 06.90" N,102° 59' 51.11" E
VKN30,03° 37' 59.22" N,103° 02' 41.86" E
VKN31,03° 35' 04.27" N,103° 06' 09.44" E
VKN32,03° 33' 42.56" N,103° 09' 30.78" E
VKN33,03° 33' 49.35" N,102° 45' 24.44" E
VKN45,03° 50' 54.26" N,103° 12' 30.07" E
VKN60,03° 40' 22.22" N,103° 12' 14.38" E
VKN85,03° 35' 21.49" N,103° 11' 53.45" E
VKN86,03° 33' 21.19" N,103° 11' 45.08" E
VKN90,03° 46' 22.97" N,103° 27' 39.83" E
VLB02,05° 15' 43.77" N,115° 16' 33.41" E
VLB04,05° 14' 02.64" N,115° 17' 38.92" E
VLB06,05° 12' 21.51" N,115° 18' 44.42" E
VLB07,05° 14' 24.01" N,115° 20' 40.41" E
VLB09,05° 26' 27.52" N,115° 15' 27.90" E
VLB20,05° 26' 51.44" N,115° 18' 53.67" E
VLB21,05° 09' 49.84" N,115° 08' 53.38" E
VLB26,05° 16' 53.27" N,115° 05' 27.26" E
VLB31,05° 24' 31.18" N,115° 08' 22.52" E
VLB32,05° 25' 38.75" N,115° 09' 42.83" E
VLB33,05° 26' 31.31" N,115° 11' 13.65" E
VLB36,05° 27' 27.81" N,115° 15' 27.90" E
VLB51,05° 23' 44.27" N,115° 23' 15.41" E
VLB57,05° 08' 09.91" N,115° 19' 22.86" E
VLB75,05° 23' 35.29" N,115° 11' 09.12" E
VMI43,04° 04' 49.00" N,114° 40' 14.00" E
VSN50,6° 14' 3.10" N,117° 18' 22.20" E
VTK30,1° 54' 54.00" N,104° 1' 53.00" E
VTW45,04° 46' 20.00" N,117° 32' 25.00" E
VZU08,3° 58' 26.00" N,114° 40' 32.00" E
VZU16,4° 17' 40.00" N,114° 51' 4.00" E
