IDENT,LATITUDE,LONGITUDE 
SUDPO,1° 17' 31.00" N,103° 58' 8.00" E
SUMLA,8° 2' 42.00" N,116° 0' 54.00" E
SUNVA,1° 17' 56.00" N,103° 57' 22.00" E
SUSIN,1° 12' 29.00" N,103° 58' 8.00" E
TAROS,0° 42' 0.00" N,102° 16' 7.00" E
TAXUL,3° 50' 35.00" N,103° 40' 37.00" E
TEGID,8° 56' 56.00" N,115° 51' 43.00" E
TERUS,2° 1' 35.00" N,103° 13' 9.00" E
TOKIM,1° 29' 33.00" N,104° 3' 15.00" E
TOPOM,1° 29' 55.00" N,104° 2' 27.00" E
TOPOR,1° 44' 12.00" N,102° 53' 30.00" E
UKASA,2° 52' 45.00" N,103° 39' 1.00" E
VENLI,6° 28' 48.00" N,102° 49' 0.00" E
VENTU,0° 5' 48.00" N,105° 6' 48.00" E
VINIK,8° 38' 30.00" N,116° 13' 48.00" E
VINIL,2° 55' 0.00" N,104° 6' 18.00" E
